feature,importance
DayMins,0.2128332575493461
MonthlyCharge,0.1983578874219895
CustServCalls,0.1548626818151564
DataUsage,0.084631057056987
OverageFee,0.07928842562523389
DataPlan,0.07191767811011637
AccountWeeks,0.06883635703601089
DayCalls,0.06687176485645213
RoamMins,0.06240089052870774
ContractRenewal,0.0
